"ID","Question","Option1","Option2","Option3","Option4","Option5","Option6","Option7","Option8","Option9"
"1","Who was the most famous escape artist of the 20th century?","Harry Lorayne","Harry Chapin","Harry Houdini","Harry Potter","Harry Belafonte","Harry Blackstone Sr.","Harry Kellar","Harry Anderson","Harry August Jansen"
"","","Highly Possitive","Idle","Moderately Negative","Idle","Slightly Possitive","Moderately Possitive","Moderately Negative","Slightly Negative","Highly Negative"
"","","","","","","00:00:00.1098964","","","",""
"","","","","00:00:00.1852554","","","","","",""
"","","00:00:00.2538899","","","","","","","",""
"","","","00:00:00.0432123","","","","","","",""
"","","","","00:00:01.5152849","","","","","",""
"2","What was the painter Picasso first name?","Pierre","Padarn","Paavo","Peter","Paco","Paolo","Apollo","Pablo","Pedro"
"","","Moderately Negative","Highly Negative","Idle","Slightly Possitive","Slightly Negative","Moderately Negative","Idle","Highly Possitive","Moderately Possitive"
"","","","","00:00:03.1755719","","","","","",""
"","","","00:00:01.6780276","","","","","","",""
"","","00:00:00.8358201","","","","","","","",""
"","","","","","00:00:00.3353256","","","","",""
"","","","","","","","00:00:00.3862257","","",""
"","","","","","","","","","","00:00:00.4753654"
"","","","","","","","","","00:00:01.1571540",""
"3","Which one of these is not a zodiac sign?","Leo","Pisces","Cancer","Libra","Taurus","Gemini","Aquarius","Pegasus","Scorpio"
"","","Moderately Negative","Slightly Possitive","Idle","Idle","Moderately Negative","Slightly Negative","Highly Possitive","Moderately Possitive","Highly Negative"
"","","00:00:03.4482901","","","","","","","",""
"","","","00:00:00.6821314","","","","","","",""
"","","","","00:00:00.7713038","","","","","",""
"","","","","","","","00:00:01.1109397","","",""
"","","","","","","","","","","00:00:01.4608404"
"","","","","","","","","","00:00:01.6548359",""
"4","Who wrote Oliver Twist?","Shel Silverstein","Anton Chekhov","Fyodor Dostoyevsky","Leo Tolstoy","Charles Dickens","Boris Pasternak","Tomie dePaola","James Joyce","Vladimir Nabokov"
"","","Slightly Negative","Moderately Negative","Highly Negative","Idle","Idle","Moderately Negative","Slightly Possitive","Moderately Possitive","Highly Possitive"
"","","","00:00:04.0645767","","","","","","",""
"","","","00:00:00.0203544","","","","","","",""
"","","","","00:00:00.0238026","","","","","",""
"","","","00:00:00.6158578","","","","","","",""
"","","","","00:00:00.6798437","","","","","",""
"","","","","","","","00:00:00.8850584","","",""
"","","","","","","","","","","00:00:01.7726831"
"5","What is the capital of the Thailand?","Bangkok","Kathmandu","Manila","Jakarta","Hanoi","Taipei","Kuala Lumpur","Dhaka","Lhasa"
"","","Moderately Possitive","Slightly Negative","Highly Possitive","Idle","Highly Negative","Slightly Possitive","Moderately Negative","Idle","Moderately Negative"
"","","","00:00:02.2153318","","","","","","",""
"","","00:00:01.1598474","","","","","","","",""
"","","","00:00:00.7989525","","","","","","",""
"","","","","00:00:01.4860906","","","","","",""
"","","","","","","","00:00:00.0693700","","",""
"","","","","","","","","","","00:00:00.4716789"
"","","","","","","","","","00:00:00.4304241",""
"","","","","","","","","00:00:00.5223600","",""
"","","","","","00:00:00.7038918","","","","",""
"","","","","","","00:00:00.7205296","","","",""
"","","","","","","","00:00:00.7967176","","",""
"","","","00:00:00.0201254","","","","","","",""
"","","00:00:00.5965965","","","","","","","",""
"","","","00:00:00.5752319","","","","","","",""
"","","","","00:00:00.0708652","","","","","",""
"","","","","00:00:00.8818148","","","","","",""
"6","From which country does pizza originate?","Mexico","Germany","England","France","Switzerland","Belgium","Scotland","Finland","Italy"
"","","Slightly Negative","Idle","Slightly Possitive","Idle","Highly Negative","Moderately Possitive","Moderately Negative","Moderately Negative","Highly Possitive"
"","","","00:00:03.1038570","","","","","","",""
"","","00:00:00.2743813","","","","","","","",""
"","","","00:00:00.0678406","","","","","","",""
"","","","","00:00:00.2479832","","","","","",""
"","","","","","","","00:00:00.2796134","","",""
"","","","","","","","","","","00:00:00.8627185"
"7","Lara Croft is a fictional character and the protagonist of which video game series?","Prince of Persia","Heavy Rain","Assassins Creed","The Last of Us","Treasure Raider","Overwatch","Ark Raider","Raiders of the Lost Ark","Tomb Raider"
"","","Moderately Negative","Highly Possitive","Idle","Highly Negative","Slightly Negative","Moderately Negative","Moderately Possitive","Slightly Possitive","Idle"
"","","00:00:02.3586408","","","","","","","",""
"","","","00:00:00.4439555","","","","","","",""
"","","00:00:00.1348661","","","","","","","",""
"","","","00:00:00.0468297","","","","","","",""
"","","","","00:00:00.1811793","","","","","",""
"","","","00:00:00.2529900","","","","","","",""
"","","","","","","00:00:00.6741885","","","",""
"","","","00:00:01.1178297","","","","","","",""
"8","What city was once called New Amsterdam?","Boston","Washington D.C.","Los Angeles","Chicago","New York City","New Orleans","Newark","Houston","Philadelphia"
"","","Moderately Negative","Slightly Possitive","Slightly Negative","Idle","Idle","Moderately Negative","Highly Negative","Highly Possitive","Moderately Possitive"
"","","00:00:02.5482073","","","","","","","",""
"","","00:00:01.1531526","","","","","","","",""
"","","","","","00:00:00.0946572","","","","",""
"","","","","","","","","00:00:00.2701555","",""
"","","","","","","","","","00:00:00.0254266",""
"","","","","","","","","","","00:00:00.7274080"
"","","","","","","","00:00:00.7906385","","",""
"","","","","","","00:00:00.4991614","","","",""
"","","","","","00:00:00.7437757","","","","",""
"","","00:00:00.3556204","","","","","","","",""
"","","","00:00:00.6019962","","","","","","",""
"","","","","00:00:00.7170373","","","","","",""
"","","","","","","","00:00:00.0223946","","",""
"","","","","","","","","","00:00:00.0233573",""
"","","","","","","","","","00:00:00.7755519",""
"","","","","","","","","00:00:00.7922827","",""
"","","","","","","","00:00:01.2242835","","",""
"9","In which country is the Mount Everest situated?","Nepal","India","Tanzania","Vietnam","Japan","Sri Lanka","Russia","Kazakhistan","United States"
"","","Slightly Negative","Moderately Negative","Moderately Possitive","Moderately Negative","Highly Negative","Slightly Possitive","Idle","Highly Possitive","Idle"
"","","","","00:00:04.1275863","","","","","",""
"","","","00:00:00.7602445","","","","","","",""
"","","","","00:00:00.6466884","","","","","",""
"","","","","00:00:01.0681715","","","","","",""
