"ID","Question","Option1","Option2","Option3","Option4","Option5","Option6","Option7","Option8","Option9"
"1","Who was the most famous escape artist of the 20th century?","Harry Kellar","Harry Anderson","Harry Houdini","Harry Blackstone Sr.","Harry August Jansen","Harry Belafonte","Harry Potter","Harry Chapin","Harry Lorayne"
"","","Slightly Possitive","Highly Possitive","Moderately Negative","Idle","Moderately Possitive","Highly Negative","Moderately Negative","Idle","Slightly Negative"
"","","","","","","","","","00:00:00.8644179",""
"","","","00:00:00.0424277","","","","","","",""
"","","","","00:00:00.9979288","","","","","",""
"","","","00:00:00.6111018","","","","","","",""
"","","00:00:00.5485683","","","","","","","",""
"","","","","","00:00:00.6189245","","","","",""
"","","","","","","00:00:00.5213689","","","",""
"","","","","","","","00:00:00.6890300","","",""
"","","","","","","","","","","00:00:00.7257545"
"","","","","","","","","","00:00:00.4262362",""
"","","","","","","","","00:00:00.7361585","",""
"","","","","","","00:00:00.0189086","","","",""
"","","","","00:00:00.0185990","","","","","",""
"","","","","00:00:01.2139288","","","","","",""
"2","What was the painter Picasso first name?","Apollo","Pierre","Pedro","Paavo","Peter","Padarn","Paolo","Paco","Pablo"
"","","Highly Negative","Idle","Idle","Slightly Possitive","Moderately Negative","Slightly Negative","Highly Possitive","Moderately Possitive","Moderately Negative"
"","","","","00:00:03.7025592","","","","","",""
"","","","","","","","","","00:00:00.1751578",""
"","","","","","","","","","","00:00:00.9871567"
"","","","","","","","","","00:00:00.7035508",""
"","","","","","","","","00:00:00.4668383","",""
"","","","","","","00:00:00.1081800","","","",""
"","","","","","","","00:00:00.1750685","","",""
"","","","","","","","","","","00:00:00.8959960"
"3","Which one of these is not a zodiac sign?","Scorpio","Cancer","Taurus","Aquarius","Pisces","Gemini","Pegasus","Leo","Libra"
"","","Idle","Moderately Negative","Highly Negative","Slightly Negative","Slightly Possitive","Highly Possitive","Moderately Possitive","Idle","Moderately Negative"
"","","","","","","","","","","00:00:02.1506669"
"","","","","","","","","00:00:00.0473196","",""
"","","","","","","","","00:00:01.7865688","",""
"","","","","","00:00:01.0982446","","","","",""
"","","","","","","00:00:00.8730230","","","",""
"","","","","","","","","","00:00:00.8544838",""
"","","","","","","","","","","00:00:00.6887322"
"","","","","","","","00:00:01.2229972","","",""
"","","","","","","00:00:00.3548797","","","",""
"","","","","","","","","00:00:00.0408070","",""
"","","","","","","","","00:00:01.2577297","",""
"","","","","","","","00:00:00.8056449","","",""
"","","","","00:00:00.6104673","","","","","",""
"","","","00:00:00.0200433","","","","","","",""
"","","","","","","00:00:00.0452885","","","",""
"","","","","","","","","00:00:01.0916775","",""
"4","Who wrote Oliver Twist?","Leo Tolstoy","Boris Pasternak","Tomie dePaola","Fyodor Dostoyevsky","Shel Silverstein","Vladimir Nabokov","James Joyce","Anton Chekhov","Charles Dickens"
"","","Moderately Possitive","Slightly Possitive","Highly Possitive","Moderately Negative","Moderately Negative","Idle","Slightly Negative","Idle","Highly Negative"
"","","","","","","","","00:00:03.5084223","",""
"","","","","","","00:00:00.0223252","","","",""
"","","","00:00:00.0219120","","","","","","",""
"","","00:00:00.8273496","","","","","","","",""
"","","","00:00:01.0464360","","","","","","",""
"","","","","00:00:00.7696917","","","","","",""
