"ID","Question","Option1","Option2","Option3","Option4","Option5","Option6","Option7","Option8","Option9"
"1","Who was the most famous escape artist of the 20th century?","Harry Houdini","Harry Kellar","Harry August Jansen","Harry Anderson","Harry Chapin","Harry Lorayne","Harry Potter","Harry Blackstone Sr.","Harry Belafonte"
"","","Slightly Negative","Slightly Possitive","Highly Possitive","Moderately Possitive","Moderately Negative","Highly Negative","Idle","Moderately Negative","Idle"
"","","00:00:00.6357339","","","","","","","",""
"","","","","","","","00:00:00.3533321","","",""
"","","","00:00:00.0230941","","","","","","",""
"","","00:00:00.0236950","","","","","","","",""
"","","00:00:02.3003344","","","","","","","",""
"","","","00:00:02.3086733","","","","","","",""
"","","","","00:00:04.3875646","","","","","",""
"","","","","","","","00:00:01.6446496","","",""
"","","","","","","00:00:02.6464420","","","",""
"","","","","","00:00:02.3019677","","","","",""
"","","","","","","","","00:00:01.3824794","",""
"","","","","","","","","","00:00:03.1620874",""
"","","","","","","","","","","00:00:01.8754328"
"","","","","","","","00:00:01.0214247","","",""
"","","","","00:00:02.4133714","","","","","",""
"2","What was the painter Picasso first name?","Pedro","Paolo","Apollo","Padarn","Pierre","Peter","Paco","Pablo","Paavo"
"","","Slightly Possitive","Slightly Negative","Idle","Moderately Negative","Moderately Possitive","Idle","Highly Negative","Highly Possitive","Moderately Negative"
"","","","","00:00:05.9789629","","","","","",""
"","","","","","","00:00:00.0216930","","","",""
"","","","","","","","","","00:00:00.0439380",""
"","","","","","","","","","00:00:03.9779011",""
"3","Which one of these is not a zodiac sign?","Scorpio","Pegasus","Aquarius","Gemini","Pisces","Taurus","Leo","Cancer","Libra"
"","","Idle","Highly Possitive","Moderately Possitive","Moderately Negative","Idle","Highly Negative","Moderately Negative","Slightly Negative","Slightly Possitive"
"","","","","","","","","","00:00:07.2748476",""
"","","","","","","00:00:01.3434506","","","",""
"","","","","00:00:01.5684043","","","","","",""
"","","","","","","","00:00:00.9701771","","",""
"","","","","","","","","","","00:00:01.0081003"
"","","","","","","","","","00:00:00.6978264",""
"","","","","","","00:00:01.2879635","","","",""
"","","","","","00:00:01.6441894","","","","",""
"","","00:00:01.3596185","","","","","","","",""
"","","","","","00:00:00.0678356","","","","",""
"","","","","","","","","00:00:00.9554403","",""
"","","","","","","00:00:00.0222967","","","",""
"","","","00:00:02.0030810","","","","","","",""
"4","Who wrote Oliver Twist?","Charles Dickens","Anton Chekhov","Tomie dePaola","Leo Tolstoy","Shel Silverstein","James Joyce","Vladimir Nabokov","Boris Pasternak","Fyodor Dostoyevsky"
"","","Highly Possitive","Moderately Negative","Highly Negative","Idle","Moderately Negative","Idle","Moderately Possitive","Slightly Negative","Slightly Possitive"
"","","","00:00:02.4129440","","","","","","",""
"","","00:00:01.5963017","","","","","","","",""
"5","What is the capital of the Thailand?","Dhaka","Kathmandu","Lhasa","Kuala Lumpur","Manila","Taipei","Jakarta","Bangkok","Hanoi"
"","","Slightly Possitive","Moderately Negative","Moderately Negative","Idle","Moderately Possitive","Slightly Negative","Idle","Highly Possitive","Highly Negative"
"","","00:00:03.8862828","","","","","","","",""
"","","","","","00:00:01.3030278","","","","",""
"","","","","","","","","00:00:01.9558093","",""
"","","","","","","","","","00:00:01.8517282",""
"6","From which country does pizza originate?","France","Switzerland","Germany","England","Finland","Mexico","Italy","Belgium","Scotland"
"","","Moderately Negative","Slightly Negative","Idle","Moderately Possitive","Highly Negative","Idle","Slightly Possitive","Moderately Negative","Highly Possitive"
"","","","","","","","","","00:00:06.0885646",""
"","","","","","","","","00:00:02.0094218","",""
"","","","","","00:00:01.4400587","","","","",""
"","","00:00:01.2855627","","","","","","","",""
"","","","00:00:02.0020147","","","","","","",""
"","","","","00:00:00.0226193","","","","","",""
"","","","","00:00:01.0434458","","","","","",""
"","","","","","","","00:00:00.9265018","","",""
"","","","","","","00:00:00.8897697","","","",""
"","","","","","","","","","00:00:01.1661528",""
"","","","","","","","","","","00:00:02.8722791"
"7","Lara Croft is a fictional character and the protagonist of which video game series?","Heavy Rain","Raiders of the Lost Ark","Prince of Persia","Treasure Raider","Tomb Raider","Overwatch","Assassins Creed","Ark Raider","The Last of Us"
"","","Idle","Moderately Possitive","Slightly Possitive","Moderately Negative","Highly Possitive","Highly Negative","Moderately Negative","Slightly Negative","Idle"
"","","","","","","","","","00:00:06.2914627",""
"","","","","","","00:00:01.1337754","","","",""
"8","What city was once called New Amsterdam?","Philadelphia","Chicago","New York City","Newark","Washington D.C.","Houston","New Orleans","Boston","Los Angeles"
"","","Moderately Negative","Moderately Possitive","Idle","Moderately Negative","Idle","Highly Possitive","Slightly Negative","Slightly Possitive","Highly Negative"
"","","","","","","00:00:07.7920237","","","",""
"","","","","","00:00:01.0351594","","","","",""
"","","00:00:00.7560250","","","","","","","",""
"","","","00:00:01.3338632","","","","","","",""
"","","","","00:00:00.7797570","","","","","",""
"","","","","","","","00:00:01.6275205","","",""
"","","","","","","","","","","00:00:01.3522185"
"","","","","","","","","","00:00:02.3713936",""
"","","","","","","","","00:00:01.4249652","",""
"","","","","","","","","","00:00:00.0479625",""
"","","","","","","","00:00:00.7363911","","",""
"9","In which country is the Mount Everest situated?","Kazakhistan","India","United States","Nepal","Russia","Vietnam","Japan","Sri Lanka","Tanzania"
"","","Slightly Negative","Moderately Negative","Moderately Negative","Highly Possitive","Highly Negative","Idle","Slightly Possitive","Moderately Possitive","Idle"
"","","","","","","","00:00:05.9673994","","",""
"","","","","00:00:01.3607603","","","","","",""
"","","","00:00:01.3450436","","","","","","",""
"","","00:00:01.7273902","","","","","","","",""
"","","","","","00:00:03.0324730","","","","",""
"","","","","","","00:00:01.4293584","","","",""
"","","","","","","","00:00:00.7809288","","",""
"","","","","","","","","","","00:00:00.8219478"
"","","","","","","","","","00:00:01.1262645",""
"","","","","","","","","00:00:00.9923047","",""
