"ID","Question","Option1","Option2","Option3","Option4","Option5","Option6","Option7","Option8","Option9"
"1","What is the highest point on the Earth continental crust?","Mount Everest","Mount Fiji","Annapurna","Makalu","Lhotse","Mount Damavand","K2","Kangchenjunga","Manaslu"
"","","Highly Possitive","Slightly Negative","Moderately Negative","Idle","Moderately Possitive","Idle","Highly Negative","Moderately Negative","Slightly Possitive"
"","","","","","","","","00:00:00.1294528","",""
"","","","","","","","","","00:00:03.3294282",""
"","","","","","","","","","","00:00:02.5665646"
"","","","","","","","00:00:02.9593426","","",""
"","","","","","","00:00:02.2013729","","","",""
"","","","","","00:00:02.7984565","","","","",""
"","","00:00:07.5858333","","","","","","","",""
"","","","00:00:01.6337730","","","","","","",""
"","","","","00:00:01.0220392","","","","","",""
"","","","","","","","00:00:00.0892067","","",""
"","","","","","","","","","00:00:00.7074797",""
"2","Which two colors make purple?","Blue and Yellow","Green and Orange","Red and Grey","White and Red","Grey and Orange","None","Red and Blue","Red and Green","Orange and White"
"","","Moderately Negative","Moderately Possitive","Slightly Negative","Idle","Idle","Moderately Negative","Highly Possitive","Highly Negative","Slightly Possitive"
"","","","","","","","00:00:15.9531147","","",""
"","","","00:00:03.4533770","","","","","","",""
"","","","","00:00:04.9627057","","","","","",""
"","","","","","","00:00:00.0239534","","","",""
"","","","","","00:00:04.8164305","","","","",""
"","","","","","00:00:00.7925949","","","","",""
"","","","","","","00:00:01.3916663","","","",""
"","","","","","","","00:00:02.8757243","","",""
"","","","","","","","","","","00:00:00.1499069"
"","","","","","","","","","","00:00:01.9555242"
"","","","","","","","","","00:00:02.4945207",""
"","","","","","","","","00:00:02.9235893","",""
"3","Which fruits are most commonly used to make wine?","Oranges","Apples","Potatoes","Strawberries","Pear","Wheat","Grapes","Blackberry","Lemons"
"","","Idle","Slightly Negative","Moderately Possitive","Idle","Slightly Possitive","Highly Negative","Moderately Negative","Highly Possitive","Moderately Negative"
"","","","","","","","","00:00:06.8893238","",""
"","","","00:00:00.0315689","","","","","","",""
"","","","","","","00:00:00.2002853","","","",""
"","","","","","00:00:00.0228032","","","","",""
"","","","","","","","","00:00:13.8432781","",""
"","","","","","00:00:01.6365346","","","","",""
"","","00:00:03.7028878","","","","","","","",""
"","","","00:00:00.5420195","","","","","","",""
"","","","","","","00:00:00.0463364","","","",""
"","","","","","","","","00:00:00.1576832","",""
"","","","","","","","","00:00:00.4651675","",""
"4","Which Italian city has a famous leaning tower?","Florence","Milan","Rome","Turin","Pisa","Eiffel","Venice","Paris","Siena"
"","","Slightly Possitive","Moderately Negative","Idle","Moderately Possitive","Highly Possitive","Highly Negative","Slightly Negative","Moderately Negative","Idle"
"","","","00:00:03.2020496","","","","","","",""
"","","","","00:00:00.6850270","","","","","",""
"","","","","00:00:00.1154401","","","","","",""
"","","","","","","00:00:01.3048180","","","",""
"5","A common currency for the members of the Common Market in Europe is known as:","Leu","Sterling","Krone","Franc","Forint","Euro","Pound","Krouna","Dollar"
"","","Idle","Moderately Negative","Slightly Possitive","Slightly Negative","Moderately Possitive","Highly Possitive","Highly Negative","Idle","Moderately Negative"
"","","","","00:00:22.7626817","","","","","",""
"","","","","","","","00:00:00.9782481","","",""
"6","Where is Palace of Versailles located at?","Greece","Italy","Mexico","Peru","Spain","Brazil","Chile","France","Argentina"
"","","Slightly Possitive","Highly Possitive","Moderately Negative","Slightly Negative","Idle","Idle","Moderately Possitive","Highly Negative","Moderately Negative"
"","","","","00:00:02.7516349","","","","","",""
"","","","00:00:00.0208235","","","","","","",""
"","","00:00:03.3747943","","","","","","","",""
"","","","00:00:02.0727779","","","","","","",""
"","","","","","","00:00:02.3988025","","","",""
"","","","","","","","00:00:01.7313120","","",""
"","","","","","","","","","","00:00:05.2962952"
"","","","","","","","","","00:00:01.9364774",""
"","","","","","","","","00:00:01.5459992","",""
"","","","","","","00:00:00.0428332","","","",""
"","","","00:00:01.2467147","","","","","","",""
"7","What is the common name for sodium chloride?","Turmeric","Baking powder","Mustard","Salt","Vinegar","Chocolate","Pepper","Ketchup","Syrup"
"","","Slightly Negative","Moderately Possitive","Highly Negative","Moderately Negative","Idle","Moderately Negative","Idle","Highly Possitive","Slightly Possitive"
"","","","00:00:17.2981548","","","","","","",""
"","","00:00:01.2181036","","","","","","","",""
"","","","","","00:00:05.1678504","","","","",""
"","","","00:00:00.4930363","","","","","","",""
"8","What is the main ingredient of omelette?","Potato","Bacon","Egg","Cheese","Sausage","Milk","Butter","Garlic","Onion"
"","","Idle","Idle","Highly Possitive","Slightly Possitive","Moderately Possitive","Highly Negative","Slightly Negative","Moderately Negative","Moderately Negative"
"","","","","00:00:10.4291436","","","","","",""
"9","Who is the King of the Gods in Greek Mythology?","Athena","Demeter","Hera","Artemis","Ares","Zeus","Poseidon","Dionysus","Apollo"
"","","Idle","Moderately Negative","Moderately Negative","Highly Negative","Slightly Possitive","Highly Possitive","Slightly Negative","Idle","Moderately Possitive"
"","","","","00:00:15.4151207","","","","","",""
"","","","","","","","00:00:00.5194205","","",""
"10","Sports car manufacturer Ferrari are based where?","Toulouse, France","Luxembourg, Luxembourg","Montevideo, Uruguay","Stuttgart, Germany","Boulogne-Billancourt, France","Madrid, Spain","Malmo, Sweden","Wolfsburg, Germany","Maranello, Italy"
"","","Idle","Slightly Negative","Moderately Possitive","Moderately Negative","Slightly Possitive","Moderately Negative","Highly Negative","Idle","Highly Possitive"
"","","","","00:00:03.2300151","","","","","",""
"","","","","00:00:00.0226152","","","","","",""
"","","","","","","","00:00:00.1715807","","",""
"","","","","","","","","","","00:00:02.4256803"
"11","Who directed the 1983 film ET the Extra-Terrestrial?","Drew Barrymore","Woody Allen","Tom Hanks","James Cameron","Quentin Tarantino","Martin Scorsese","Robin Williams","Stanley Kubrick","Steven Spielberg"
"","","Moderately Negative","Idle","Slightly Possitive","Moderately Possitive","Highly Negative","Idle","Slightly Negative","Moderately Negative","Highly Possitive"
"","","","","00:00:10.1308954","","","","","",""
"","","","","","","","00:00:00.1395693","","",""
"","","","","","","","","","","00:00:01.4851379"
"","","","","","","","","","00:00:01.1179782",""
"","","","","","","","","00:00:01.5504603","",""
"","","","","","00:00:01.3467386","","","","",""
"","","","","","","00:00:01.3928637","","","",""
"","","","","","","","00:00:01.0847628","","",""
"","","","","00:00:01.8249164","","","","","",""
"","","","00:00:01.2736370","","","","","","",""
"","","00:00:02.2559691","","","","","","","",""
"","","","","","00:00:01.5676276","","","","",""
"","","","","","","","","","00:00:00.3198802",""
"","","","","","","","","","","00:00:01.4430622"
"12","What country is also known as Persia?","Egypt","France","China","India","Iran","Russia","Lebanon","Poland","Saudi Arabia"
"","","Moderately Possitive","Moderately Negative","Slightly Possitive","Highly Possitive","Highly Negative","Moderately Negative","Idle","Slightly Negative","Idle"
"","","","","00:00:03.6110096","","","","","",""
"","","","00:00:00.0206083","","","","","","",""
"","","","","","","00:00:00.1839588","","","",""
"","","","","","","","","00:00:03.6578384","",""
"","","","","","","00:00:09.2512472","","","",""
"","","","","","","","","","","00:00:01.6573111"
"","","","","","","00:00:00.9237774","","","",""
"","","","","","","","","","","00:00:01.8401700"
"","","","","","","","","00:00:08.9365228","",""
"13","The disease bronchitis is associated with:","Heart","Trachea","Brain","Sinuses","Lungs","Forhead Veins","Kidney","Esophagus","Liver"
"","","Moderately Possitive","Slightly Possitive","Moderately Negative","Idle","Highly Possitive","Slightly Negative","Moderately Negative","Idle","Highly Negative"
"","","","","","","","","","00:00:02.3639951",""
"","","","","","","00:00:00.3042395","","","",""
"","","","00:00:00.0457434","","","","","","",""
"","","","","00:00:00.0764455","","","","","",""
"","","","","","","00:00:00.0069814","","","",""
"","","","","","","","","","00:00:00.0886815",""
"","","","","","","00:00:00.5448412","","","",""
"14","World War I commenced in:","1922","1958","1901","1899","1880","1953","1940","1914","1963"
"","","Slightly Negative","Moderately Possitive","Moderately Negative","Highly Negative","Idle","Moderately Negative","Idle","Highly Possitive","Slightly Possitive"
"","","","","00:00:10.3798407","","","","","",""
"","","","","","","00:00:00.2064106","","","",""
"","","","","","","","","","00:00:01.0104116",""
"15","The small republic of San Marino is completely surrounded by which larger country?","Italy","Iraq","Ireland","Indonesia","Israel","Japan","India","Iran","Iceland"
"","","Moderately Possitive","Idle","Highly Negative","Highly Possitive","Moderately Negative","Idle","Slightly Negative","Slightly Possitive","Moderately Negative"
"","","","","00:00:32.9603398","","","","","",""
"","","","00:00:01.4668805","","","","","","",""
"","","","","00:00:02.1512251","","","","","",""
"","","","00:00:00.0267791","","","","","","",""
"","","","","","00:00:04.6478728","","","","",""
"","","","","","","00:00:01.5557107","","","",""
"","","","","","","","00:00:00.9304473","","",""
"","","","","","","","","","","00:00:01.1038332"
"","","","","","","","","","00:00:01.1564876",""
"","","","","","","","","00:00:01.1803482","",""
"","","","","","00:00:00.8214015","","","","",""
"16","What is cherry blossom known as in Japanese?","Samurai","Sirrah","Sayonara","Sarah","Sumach","Sakura","Sudoku","Sophora","Sonora"
"","","Slightly Possitive","Moderately Possitive","Idle","Moderately Negative","Idle","Highly Possitive","Moderately Negative","Slightly Negative","Highly Negative"
"","","","00:00:02.0758791","","","","","","",""
"","","00:00:00.1375036","","","","","","","",""
"","","","00:00:00.1290078","","","","","","",""
"","","","00:00:00.2064698","","","","","","",""
"","","","00:00:00.1825896","","","","","","",""
"","","00:00:00.2064130","","","","","","","",""
"","","00:00:03.8138952","","","","","","","",""
"","","","00:00:02.8794739","","","","","","",""
"","","","","00:00:01.2248955","","","","","",""
"","","","","","","","00:00:02.3759665","","",""
"","","","","","","00:00:01.4904946","","","",""
"","","","","","00:00:01.1081531","","","","",""
"","","","","","","","","00:00:05.3878732","",""
"","","","","","","","","","00:00:00.9922963",""
"","","","","","","","","","","00:00:01.2567594"
"","","","","","","","","","00:00:00.1355521",""
"","","","","","","","","00:00:03.5216185","",""
"","","","","","00:00:01.1488096","","","","",""
"","","00:00:02.2584778","","","","","","","",""
"","","","00:00:03.9388881","","","","","","",""
"17","The Spanish flag consists of which two colours?","Blue and yellow","Green and blue","Red and yellow","White and yellow","Green and white","Black and red","Red and Blue","Black and green","Yellow and green"
"","","Idle","Moderately Negative","Highly Possitive","Idle","Slightly Negative","Moderately Possitive","Highly Negative","Moderately Negative","Slightly Possitive"
"","","","00:00:03.2065776","","","","","","",""
"","","","","00:00:00.4562711","","","","","",""
"","","","","00:00:03.0334555","","","","","",""
"","","","00:00:01.2196232","","","","","","",""
"","","00:00:01.7084472","","","","","","","",""
"","","","","","","00:00:00.3975594","","","",""
"","","","","","","","","","00:00:04.7479460",""
"","","","","","","","","00:00:04.0891860","",""
"18","For what occupation was Jesus trained?","Lumberjack","Hind","Chandler","Teacher","Butcher","Haymonger","Jagger","Carpenter","Holster"
"","","Slightly Negative","Moderately Possitive","Idle","Idle","Slightly Possitive","Moderately Negative","Moderately Negative","Highly Possitive","Highly Negative"
"","","","00:00:08.4316002","","","","","","",""
"","","","","","","00:00:00.9344092","","","",""
"","","","","","","","","","00:00:01.3594130",""
"19","What is the capital of the Taiwan?","Taipei","Bangkok","Hanoi","Dhaka","Kathmandu","Lhasa","Manila","Jakarta","Kuala Lumpur"
"","","Highly Possitive","Slightly Possitive","Idle","Highly Negative","Moderately Negative","Moderately Possitive","Slightly Negative","Idle","Moderately Negative"
"","","","00:00:14.5397416","","","","","","",""
"","","","","","","00:00:00.2222396","","","",""
"","","","","","","","","","00:00:01.0512315",""
"20","In which country will you find Machu Picchu?","Chile","Brazil","Paraguay","Uraguay","Argentina","Peru","Ecuador","Mexico","Colombia"
"","","Highly Negative","Idle","Moderately Negative","Idle","Moderately Negative","Highly Possitive","Slightly Negative","Moderately Possitive","Slightly Possitive"
"","","","","00:00:02.1031488","","","","","",""
"","","","","","00:00:00.2239962","","","","",""
"","","00:00:01.4809186","","","","","","","",""
"","","","00:00:00.9536940","","","","","","",""
"","","","","00:00:01.0528529","","","","","",""
"","","","","","","","00:00:03.1413890","","",""
"","","","","","","00:00:01.2769188","","","",""
"","","","","","00:00:02.1245137","","","","",""
"","","","","","","","","00:00:01.9455465","",""
"","","","","","","","","","00:00:02.7125957",""
"","","","","","","","","","","00:00:01.1491777"
"","","","","","","","","","00:00:01.8477322",""
"","","","","","","00:00:01.2052520","","","",""
"","","","","","","","00:00:02.2986932","","",""
"","","","","00:00:01.0979396","","","","","",""
"","","","","","","","00:00:00.4165277","","",""
"21","Which tree grows from an acorn?","Elm","Lime","Birch","Pine","Maple","Hawthorn","Larch","Ash","Oak"
"","","Moderately Negative","Moderately Possitive","Slightly Negative","Idle","Slightly Possitive","Highly Negative","Idle","Moderately Negative","Highly Possitive"
"","","","","","","","00:00:16.9402528","","",""
"","","","00:00:04.3439722","","","","","","",""
"","","","","00:00:02.7019207","","","","","",""
"","","","","","","","00:00:01.2860100","","",""
"","","","","","","00:00:02.0104530","","","",""
"","","","","","00:00:01.4312907","","","","",""
"","","","","","","","","00:00:01.7919683","",""
"","","","","","","","","","00:00:01.0662346",""
"","","","","","","","","","","00:00:01.8381325"
"22","Name the country which is the craddle of western classic music, known as The land of music?","France","Germany","Austria","Sweden","United States","Netherlands","Belgium","England","Switzerland"
"","","Slightly Negative","Moderately Negative","Highly Possitive","Highly Negative","Moderately Possitive","Idle","Idle","Moderately Negative","Slightly Possitive"
"","","","","00:00:22.3739395","","","","","",""
"","","","00:00:01.9957793","","","","","","",""
"","","","","00:00:03.0066263","","","","","",""
"","","","","","00:00:01.5445768","","","","",""
"","","","","","","00:00:06.7713712","","","",""
"","","","","","","","00:00:01.2625194","","",""
"","","","","","","","","","","00:00:01.3899788"
"","","","","","","","","","00:00:01.1834481",""
"","","","","","","","","00:00:01.8374811","",""
"","","","","","","00:00:00.0697714","","","",""
"","","","00:00:00.2174123","","","","","","",""
"","","","","00:00:01.3481448","","","","","",""
"","","","00:00:01.2955971","","","","","","",""
"","","00:00:01.7244042","","","","","","","",""
"","","","00:00:00.4077634","","","","","","",""
"","","","","00:00:00.5836177","","","","","",""
"23","Where is the headquarters of United Nations?","Beijing, China","Paris, France","Berlin, Germany","Los Angeles, USA","London, UK","New York City, USA","Moscow, Russia","Geneva, Switzerland","Chicago, USA"
"","","Moderately Negative","Slightly Possitive","Slightly Negative","Idle","Highly Negative","Highly Possitive","Moderately Possitive","Idle","Moderately Negative"
"","","","","00:00:11.6114388","","","","","",""
"","","","","","","","00:00:02.0816466","","",""
"24","Who is the writer of Adventures of Huckleberry Finn?","Shel Silverstein","Agatha Christie","Ernest Hemingway","George Eliot","Raymond Chandler","Stephen King","Jules Verne","Mark Twain","Peter Lynch"
"","","Idle","Moderately Negative","Idle","Highly Negative","Moderately Possitive","Moderately Negative","Slightly Possitive","Highly Possitive","Slightly Negative"
"","","","","00:00:13.3814380","","","","","",""
"","","","","","","00:00:00.0437901","","","",""
"","","","","","","","","","00:00:00.0707365",""
"","","","","","","","","","00:00:01.1623242",""
"25","Who is the writer of Brief History of Time?","Richard Feynman","Michio Kaku","Alan Guth","Kip S. Thorne","Stephen Hawking","Richard Dawkins","Albert Einstein","Neil deGrasse Tyson","Steven Weinberg"
"","","Idle","Moderately Negative","Slightly Negative","Moderately Possitive","Highly Possitive","Idle","Slightly Possitive","Highly Negative","Moderately Negative"
"","","","","00:00:11.7733495","","","","","",""
"","","00:00:01.3948963","","","","","","","",""
"","","","00:00:01.7802537","","","","","","",""
"","","","","00:00:02.0350756","","","","","",""
"","","","00:00:00.0912078","","","","","","",""
"","","","","","00:00:01.8672934","","","","",""
"","","","","","","00:00:02.3196194","","","",""
"","","","","","","","00:00:01.0412293","","",""
"","","","","","","","","","","00:00:01.1260923"
"","","","","","","","","","00:00:01.0751378",""
"","","","","","","","","00:00:01.9841826","",""
"","","","","","","00:00:00.9411251","","","",""
"26","Anemometer is an instrument used for measuring?","Light speed","Sound Speed","Age of stars","Wind speed","Size of stars","Distance of stars from Earth","Water speed","Distance between two stars","Objects speed"
"","","Slightly Negative","Moderately Negative","Slightly Possitive","Highly Possitive","Idle","Highly Negative","Moderately Negative","Idle","Moderately Possitive"
"","","","","00:00:20.5305746","","","","","",""
"","","","00:00:02.6997176","","","","","","",""
"","","","","00:00:02.6345410","","","","","",""
"","","","","","00:00:02.8232259","","","","",""
"","","","","","","00:00:01.5524518","","","",""
"","","","","","","","00:00:01.0771165","","",""
"","","","","","","","","","","00:00:01.0153101"
"","","","","","","","","","00:00:00.6716648",""
"","","","","","","","","","","00:00:00.7643774"
"","","","","","","","","","00:00:02.2513827",""
"","","","","","","","","00:00:01.5952843","",""
"","","","","","00:00:01.0699166","","","","",""
"27","What is the largest country in the world?","India","Russia","Canada","Kazakhistan","China","Brazil","Australia","United States","Argentina"
"","","Moderately Negative","Highly Possitive","Moderately Negative","Moderately Possitive","Idle","Highly Negative","Slightly Possitive","Idle","Slightly Negative"
"","","","00:00:23.6716886","","","","","","",""
"","","","","","","","00:00:00.7828551","","",""
"","","","00:00:00.9722922","","","","","","",""
"","","","","","","","","","","00:00:01.2124206"
"","","","","","","","","","00:00:01.1931202",""
"","","","","","","","","00:00:02.5072960","",""
"","","","","","00:00:00.9098375","","","","",""
"","","00:00:00.8395378","","","","","","","",""
"","","","","","","00:00:00.0474640","","","",""
"","","","","","","00:00:02.5940179","","","",""
"","","","00:00:00.5810150","","","","","","",""
"28","Which Space Shuttle broke apart 73 seconds into its flight on January 28, 1986?","Atlantis","Discovery","Endeavour","Curiosity","Enterprise","Challenger","Spirit","Colombia","Opportunity"
"","","Idle","Moderately Negative","Highly Possitive","Moderately Negative","Idle","Highly Negative","Slightly Negative","Slightly Possitive","Moderately Possitive"
"","","","00:00:20.0516131","","","","","","",""
"","","","","00:00:00.0269131","","","","","",""
"","","","00:00:01.0574434","","","","","","",""
"","","00:00:00.6523465","","","","","","","",""
"","","","","","00:00:00.8690974","","","","",""
"","","","","","","00:00:00.8183662","","","",""
"","","","","","","","00:00:04.6441445","","",""
"","","","","","","","","","","00:00:01.7288115"
"","","","","","","","","","00:00:03.3100794",""
"","","","","","","","","00:00:01.0036528","",""
"","","","","","","00:00:00.6762053","","","",""
"","","","","","","","","00:00:00.5279794","",""
"","","","","","","00:00:00.4003115","","","",""
"","","","","00:00:00.8655657","","","","","",""
"","","","","","","","00:00:00.9939074","","",""
"29","What is the colour of the flag of Libya?","Red","White","Purple","Orange","Blue","Green","Yellow","Pink","Black"
"","","Highly Negative","Moderately Negative","Idle","Moderately Negative","Slightly Possitive","Highly Possitive","Moderately Possitive","Idle","Slightly Negative"
"","","","","","","","00:00:09.8755888","","",""
"","","","","","","00:00:01.4333264","","","",""
"","","00:00:01.0817722","","","","","","","",""
"","","","00:00:01.3958022","","","","","","",""
"","","","","00:00:00.9231143","","","","","",""
"","","","","","","","00:00:01.8767958","","",""
"","","","","","","00:00:01.1462391","","","",""
"","","","","","00:00:00.9496638","","","","",""
"","","","","","","","","00:00:01.0424489","",""
"","","","","","","","","","00:00:00.7956438",""
"","","","","","","","","","","00:00:00.6394836"
"","","","","","","","00:00:00.5635760","","",""
"30","The ulna is a long bone in which part of the body?","Hand","Neck","Ear","Leg","Pelvis","Foot","Chest","Face","Arm"
"","","Highly Possitive","Slightly Negative","Moderately Negative","Moderately Possitive","Moderately Negative","Slightly Possitive","Highly Negative","Idle","Idle"
"","","","","","","","00:00:21.6619958","","",""
"","","","00:00:01.2442494","","","","","","",""
"","","","","00:00:00.8655918","","","","","",""
"","","","","","","","00:00:01.1131820","","",""
"","","","","","","00:00:00.9948527","","","",""
"","","","","","00:00:02.9242513","","","","",""
"","","","","","","","","00:00:01.4934546","",""
"","","","","","","","","","00:00:01.0897488",""
"","","","","","","","","","","00:00:01.1315861"
"","","","","","","00:00:00.0248566","","","",""
"","","00:00:00.0219132","","","","","","","",""
"","","00:00:00.6908370","","","","","","","",""
"","","","00:00:00.1979638","","","","","","",""
"","","00:00:00.4973102","","","","","","","",""
"31","Which musical family does the saxophone belong to?","Keyboard","Strings","Jazz","Brass","Blues","Classic","Woodwind","Percussion","Folk"
"","","Slightly Possitive","Moderately Possitive","Idle","Moderately Negative","Idle","Highly Negative","Moderately Negative","Highly Possitive","Slightly Negative"
"","","","00:00:02.6685532","","","","","","",""
"","","00:00:00.0662664","","","","","","","",""
"","","","00:00:00.6799897","","","","","","",""
"","","","","00:00:00.7320205","","","","","",""
"","","","","","","00:00:00.1602299","","","",""
"","","","","","00:00:03.4620179","","","","",""
"","","","","","","00:00:01.6329951","","","",""
"","","","","","","","00:00:00.8269984","","",""
"","","","","","","","","","00:00:00.0663067",""
"","","","","","","","","00:00:01.4938413","",""
"","","","","","","","","","00:00:01.3988373",""
"","","","","","","","","","","00:00:01.6567748"
"","","","","","","","","","00:00:00.2251788",""
"","","","","","","","","00:00:01.6643070","",""
"32","In what country would you find Mount Kilimanjaro?","Kenya","South Africa","Kazakhistan","Nepal","United States","Switzerland","Congo","Colombia","Tanzania"
"","","Moderately Possitive","Slightly Negative","Highly Negative","Idle","Slightly Possitive","Moderately Negative","Idle","Moderately Negative","Highly Possitive"
"","","","00:00:18.4801047","","","","","","",""
"33","Old Trafford stadium is located near what major city?","Newcastle","Glasgow","Edinburgh","London","Southampton","Manchester","Trafford","Nottingham","Liverpool"
"","","Idle","Moderately Negative","Moderately Negative","Moderately Possitive","Slightly Negative","Highly Possitive","Slightly Possitive","Idle","Highly Negative"
"","","00:00:17.3959961","","","","","","","",""
"","","","00:00:01.3978589","","","","","","",""
"","","","","00:00:01.5809480","","","","","",""
"","","","","","","","00:00:01.5603799","","",""
"","","","","","","00:00:00.7867838","","","",""
"","","","","","00:00:01.9264339","","","","",""
"","","","","","","","","00:00:01.1856391","",""
"","","","","","","","","","00:00:00.9854073",""
"","","","","","","","","","","00:00:00.4882439"
"","","","","","","","00:00:00.5119608","","",""
"34","Yellow Egg is a variety of which fruit?","Korean Melon","Lemon","Carambola","Mango","Melon","Pear","Pineapple","Plum","Apricot"
"","","Moderately Possitive","Slightly Possitive","Slightly Negative","Idle","Moderately Negative","Moderately Negative","Idle","Highly Possitive","Highly Negative"
"","","","","00:00:18.5997190","","","","","",""
"","","","","00:00:00.0703093","","","","","",""
"","","","","","","","00:00:00.0657942","","",""
"","","","","","","","","","","00:00:00.0480887"
"","","","","","","","","","","00:00:00.0419245"
"","","","","","","","","","","00:00:03.5630542"
"","","","","","","00:00:00.7089486","","","",""
"","","","00:00:02.8003752","","","","","","",""
"","","00:00:02.6239002","","","","","","","",""
"","","","00:00:00.3834490","","","","","","",""
"35","Hypophosphatasia affects what part of the body?","Brain","Muscles","Blood","Lungs","Eyes","Nerves","Bones","Kidney","Liver"
"","","Highly Possitive","Slightly Negative","Idle","Highly Negative","Idle","Moderately Negative","Moderately Possitive","Moderately Negative","Slightly Possitive"
"","","","00:00:02.1125033","","","","","","",""
"","","00:00:01.9840607","","","","","","","",""
"","","","00:00:01.7526385","","","","","","",""
"","","","","00:00:05.3531900","","","","","",""
"","","","","","","","00:00:01.2355901","","",""
"","","","","","","00:00:00.6314773","","","",""
"","","","","","00:00:00.9656897","","","","",""
"","","","","","","","","00:00:01.1568259","",""
"","","","","","","","","","00:00:00.6068524",""
"","","","","","","","","","","00:00:00.4829559"
"","","","","","","","00:00:00.0239030","","",""
"","","","","","","00:00:00.0435744","","","",""
"","","00:00:00.5285657","","","","","","","",""
"36","Who directed the 2001 re-make of the film Oceans 11?","Martin Scorsese","Robert Rodriguez","James Cameron","Tom Hanks","Steven Soderbergh","Quentin Tarantino","Tony Gilroy","Wolfgang Petersen","Woody Allen"
"","","Idle","Moderately Negative","Moderately Negative","Idle","Highly Possitive","Slightly Possitive","Moderately Possitive","Highly Negative","Slightly Negative"
"","","00:00:22.3722019","","","","","","","",""
"","","","00:00:01.0311662","","","","","","",""
"","","","","00:00:01.6278281","","","","","",""
"","","","00:00:00.0231214","","","","","","",""
"","","","","","","00:00:00.0866284","","","",""
"","","","","","00:00:00.9088014","","","","",""
"","","","","","","00:00:05.6195604","","","",""
"","","","","","","","00:00:00.9132556","","",""
"","","","","","","","","","","00:00:01.0304866"
"","","","","","","","","","00:00:01.3584599",""
"","","","","","","","","00:00:03.0323975","",""
"","","","","","","00:00:01.1656522","","","",""
"","","","","","","","","00:00:01.7894414","",""
"","","","","","","00:00:00.5658822","","","",""
"37","In the Republic of Ireland, the Yellow Pages are known as what?","Purple pages","White Pages","Yellow Books","Golden Pages","Blue Pages","Red Pages","Rainbow Pages","Green Pages","Silver Pages"
"","","Moderately Negative","Idle","Moderately Possitive","Highly Possitive","Idle","Slightly Negative","Moderately Negative","Slightly Possitive","Highly Negative"
"","","","00:00:17.1411207","","","","","","",""
"","","","","00:00:06.8235430","","","","","",""
"","","","","","","00:00:00.0455094","","","",""
"","","","","","00:00:00.1535048","","","","",""
"","","","","","00:00:02.0135371","","","","",""
"","","","","","","00:00:01.5828774","","","",""
"","","","","","00:00:02.5266415","","","","",""
"","","","","","","","","00:00:01.0321619","",""
"","","","","","","","","","00:00:01.2465458",""
