"ID","Question","Option1","Option2","Option3","Option4","Option5","Option6","Option7","Option8","Option9"
"1","Who was the most famous escape artist of the 20th century?","Harry Potter","Harry August Jansen","Harry Kellar","Harry Anderson","Harry Belafonte","Harry Lorayne","Harry Chapin","Harry Blackstone Sr.","Harry Houdini"
"","","Highly Possitive","Highly Negative","Idle","Slightly Negative","Idle","Slightly Possitive","Moderately Possitive","Moderately Negative","Moderately Negative"
"","","","00:00:00.1429682","","","","","","",""
"","","","","00:00:00.4740033","","","","","",""
"","","","","00:00:01.3752784","","","","","",""
"","","","00:00:01.4259727","","","","","","",""
"","","00:00:01.7318790","","","","","","","",""
"","","","","","00:00:01.5272235","","","","",""
"","","","","","","","","00:00:01.5441949","",""
"","","","","","","","","","00:00:01.3298792",""
"","","","","","","","","","","00:00:01.5070916"
"2","What was the painter Picasso first name?","Pedro","Pablo","Paolo","Pierre","Paavo","Peter","Paco","Apollo","Padarn"
"","","Slightly Possitive","Highly Possitive","Slightly Negative","Idle","Moderately Possitive","Idle","Moderately Negative","Moderately Negative","Highly Negative"
"","","","","","","","","","","00:00:03.0290623"
"","","","","00:00:01.0927363","","","","","",""
"","","","00:00:02.6162123","","","","","","",""
"","","","","","","00:00:01.6840632","","","",""
"","","","","","","","","","00:00:00.8138120",""
"","","","","","","","","","","00:00:00.9041078"
"","","","","","","","","","00:00:00.1983905",""
"","","","","","","","","00:00:01.0032378","",""
"","","","","","00:00:00.8454078","","","","",""
"","","","00:00:00.7241434","","","","","","",""
"3","Which one of these is not a zodiac sign?","Leo","Scorpio","Gemini","Libra","Cancer","Aquarius","Pisces","Pegasus","Taurus"
"","","Highly Negative","Slightly Negative","Highly Possitive","Moderately Possitive","Moderately Negative","Idle","Moderately Negative","Idle","Slightly Possitive"
"","","","00:00:11.8090423","","","","","","",""
"","","","","","","","","","","00:00:01.6731170"
"","","","","","","","","","00:00:00.3595687",""
"4","Who wrote Oliver Twist?","Vladimir Nabokov","Tomie dePaola","Boris Pasternak","Fyodor Dostoyevsky","Shel Silverstein","Anton Chekhov","James Joyce","Charles Dickens","Leo Tolstoy"
"","","Highly Negative","Idle","Slightly Possitive","Moderately Negative","Moderately Negative","Highly Possitive","Slightly Negative","Idle","Moderately Possitive"
"","","","","","","","","","00:00:07.2901599",""
"","","","","","","00:00:01.4979983","","","",""
"","","","00:00:01.0801812","","","","","","",""
"","","","","00:00:01.3969200","","","","","",""
"","","","","","","","00:00:01.4340216","","",""
"","","00:00:01.0690605","","","","","","","",""
"","","","","","00:00:01.1001925","","","","",""
"","","","","","","","","00:00:00.8039839","",""
"","","","","","","","","","00:00:00.1375880",""
"","","","","","","","","","","00:00:01.8253328"
"","","","","","","","00:00:00.7180460","","",""
"5","What is the capital of the Thailand?","Dhaka","Kuala Lumpur","Taipei","Jakarta","Hanoi","Lhasa","Bangkok","Kathmandu","Manila"
"","","Moderately Negative","Slightly Negative","Moderately Negative","Highly Possitive","Moderately Possitive","Slightly Possitive","Idle","Idle","Highly Negative"
"","","","","","","","00:00:02.9354558","","",""
"","","","00:00:01.1255371","","","","","","",""
"","","","","","","00:00:00.0905648","","","",""
"","","","","","","","","00:00:01.1643575","",""
"","","","","","","","","","00:00:00.0216600",""
"","","","","","","","","","00:00:01.6204267",""
"","","","","","","","","","","00:00:00.9881651"
"","","","","","","","","","00:00:00.0218511",""
"","","","","","00:00:01.9034018","","","","",""
"","","00:00:01.0397489","","","","","","","",""
"","","","","","00:00:00.0217441","","","","",""
"","","","","","","","","00:00:00.0421225","",""
"","","","","","","","","00:00:00.3414647","",""
"6","From which country does pizza originate?","Scotland","Belgium","England","Italy","Mexico","Finland","Germany","France","Switzerland"
"","","Idle","Moderately Negative","Moderately Negative","Slightly Possitive","Highly Negative","Idle","Slightly Negative","Highly Possitive","Moderately Possitive"
"","","","","","","","","00:00:03.2563649","",""
"","","","","","","","","","00:00:01.7370482",""
"","","","","","","","","","","00:00:01.0012968"
"","","","","","","","00:00:00.9812513","","",""
"","","","","","","00:00:01.3106290","","","",""
"","","","","","00:00:01.5490436","","","","",""
"7","Lara Croft is a fictional character and the protagonist of which video game series?","The Last of Us","Overwatch","Raiders of the Lost Ark","Treasure Raider","Prince of Persia","Heavy Rain","Ark Raider","Tomb Raider","Assassins Creed"
"","","Idle","Idle","Slightly Possitive","Highly Possitive","Moderately Possitive","Moderately Negative","Moderately Negative","Slightly Negative","Highly Negative"
"","","","","","","00:00:05.5528637","","","",""
"","","","","","","00:00:01.6247018","","","",""
"","","","","","","","","","00:00:01.1168427",""
"","","","","","","","","","","00:00:01.3381100"
"","","","","","","","","","00:00:00.2004895",""
"","","","","","","","","00:00:01.3773032","",""
"","","","","","00:00:02.0386320","","","","",""
"","","00:00:00.8567051","","","","","","","",""
"","","","","","","","00:00:01.2437625","","",""
"","","","","00:00:01.2932535","","","","","",""
"8","What city was once called New Amsterdam?","New Orleans","Houston","Los Angeles","Philadelphia","Washington D.C.","Boston","Newark","New York City","Chicago"
"","","Moderately Negative","Highly Negative","Idle","Moderately Negative","Idle","Slightly Possitive","Slightly Negative","Highly Possitive","Moderately Possitive"
"","","","","00:00:03.0322917","","","","","",""
"","","","00:00:01.9327573","","","","","","",""
"","","","","","","00:00:01.7487861","","","",""
"","","","","","","","","","00:00:02.1379735",""
"","","","","","","","","","","00:00:01.6795453"
"","","","","","","","","","00:00:00.0233366",""
"","","","","","00:00:02.7079583","","","","",""
"","","","","","","","","00:00:01.2305010","",""
"","","","","","00:00:00.0199136","","","","",""
"","","","","","","00:00:00.0503308","","","",""
"","","","00:00:00.0443147","","","","","","",""
"","","","","00:00:00.4925328","","","","","",""
"","","","","","","","00:00:00.8309751","","",""
"","","","00:00:00.9676379","","","","","","",""
"","","","","","","00:00:01.0053102","","","",""
"","","","","","","","","","00:00:01.3227190",""
