"ID","Question","Option1","Option2","Option3","Option4","Option5","Option6","Option7","Option8","Option9"
"1","Who was the most famous escape artist of the 20th century?","Harry Houdini","Harry August Jansen","Harry Anderson","Harry Kellar","Harry Chapin","Harry Blackstone Sr.","Harry Lorayne","Harry Potter","Harry Belafonte"
"","","Highly Possitive","Moderately Possitive","Moderately Negative","Slightly Negative","Idle","Slightly Possitive","Highly Negative","Moderately Negative","Idle"
"","","","","00:00:02.8098301","","","","","",""
"","","","00:00:00.2058617","","","","","","",""
"","","00:00:02.5324760","","","","","","","",""
"","","","00:00:00.7408781","","","","","","",""
"","","","","00:00:00.6835517","","","","","",""
"","","","","","","","00:00:00.7673579","","",""
"","","","","","","00:00:00.6243782","","","",""
"","","","","","","","","","00:00:00.7447929",""
"","","","","","","","","","","00:00:00.5212940"
"","","","","","","","","","00:00:00.0605608",""
"","","","","","","","","00:00:00.8485369","",""
"","","","","","00:00:00.5814603","","","","",""
"","","00:00:00.8298251","","","","","","","",""
"2","What was the painter Picasso first name?","Paolo","Pablo","Pierre","Peter","Pedro","Apollo","Paavo","Paco","Padarn"
"","","Moderately Negative","Highly Possitive","Slightly Possitive","Idle","Idle","Moderately Possitive","Highly Negative","Moderately Negative","Slightly Negative"
"","","00:00:06.4752581","","","","","","","",""
"","","","00:00:00.0492367","","","","","","",""
"","","","00:00:00.8918039","","","","","","",""
"","","","","00:00:00.4038272","","","","","",""
"","","","","","","","00:00:00.2533613","","",""
"","","","","","","00:00:00.0887551","","","",""
"","","","","","00:00:00.0244314","","","","",""
"","","","","","00:00:00.1361157","","","","",""
"","","","","","","","","00:00:00.0225767","",""
"","","","","","","","","","00:00:00.0454974",""
"","","","","","","00:00:00.0887106","","","",""
"","","","00:00:00.1591969","","","","","","",""
"","","","00:00:00.3565982","","","","","","",""
"3","Which one of these is not a zodiac sign?","Gemini","Pegasus","Pisces","Aquarius","Scorpio","Libra","Cancer","Taurus","Leo"
"","","Moderately Negative","Highly Possitive","Moderately Negative","Slightly Possitive","Idle","Slightly Negative","Highly Negative","Idle","Moderately Possitive"
"","","","00:00:03.8975994","","","","","","",""
"","","00:00:00.1796021","","","","","","","",""
"","","","00:00:00.9855543","","","","","","",""
"4","Who wrote Oliver Twist?","Charles Dickens","Leo Tolstoy","Tomie dePaola","Anton Chekhov","Vladimir Nabokov","Shel Silverstein","Boris Pasternak","Fyodor Dostoyevsky","James Joyce"
"","","Highly Possitive","Moderately Possitive","Slightly Negative","Idle","Highly Negative","Slightly Possitive","Moderately Negative","Idle","Moderately Negative"
"","","","00:00:04.0117841","","","","","","",""
"","","00:00:00.5623853","","","","","","","",""
"","","","00:00:00.0636058","","","","","","",""
"","","","","00:00:00.1092294","","","","","",""
"","","","","","","","00:00:00.3310409","","",""
"","","","","","","","","","","00:00:00.2779202"
"","","","","","","","","","00:00:00.2949644",""
"","","","","","","00:00:00.0213850","","","",""
"","","","00:00:00.1748436","","","","","","",""
"","","","00:00:00.0470274","","","","","","",""
"","","00:00:00.3373218","","","","","","","",""
"5","What is the capital of the Thailand?","Manila","Jakarta","Kathmandu","Kuala Lumpur","Dhaka","Bangkok","Lhasa","Taipei","Hanoi"
"","","Idle","Moderately Negative","Idle","Moderately Possitive","Slightly Possitive","Highly Possitive","Moderately Negative","Highly Negative","Slightly Negative"
"","","00:00:03.4162087","","","","","","","",""
"","","","00:00:00.7741818","","","","","","",""
"","","","","00:00:00.3676681","","","","","",""
"","","","","","","","00:00:00.8666525","","",""
"6","From which country does pizza originate?","England","Finland","Italy","Belgium","Switzerland","France","Mexico","Germany","Scotland"
"","","Idle","Slightly Negative","Highly Possitive","Moderately Possitive","Highly Negative","Moderately Negative","Moderately Negative","Idle","Slightly Possitive"
"","","","","","","","00:00:04.1063503","","",""
"","","","","00:00:00.6779636","","","","","",""
"7","Lara Croft is a fictional character and the protagonist of which video game series?","Ark Raider","Raiders of the Lost Ark","Overwatch","Heavy Rain","Treasure Raider","The Last of Us","Tomb Raider","Assassins Creed","Prince of Persia"
"","","Slightly Possitive","Idle","Highly Negative","Slightly Negative","Idle","Moderately Negative","Highly Possitive","Moderately Possitive","Moderately Negative"
"","","","","00:00:04.9383401","","","","","",""
"","","","00:00:03.4940338","","","","","","",""
"","","","00:00:00.5701113","","","","","","",""
"","","","","","","","00:00:00.6442281","","",""
"","","","","","","","","","","00:00:00.4481663"
"","","","","","","","","","00:00:00.4893003",""
"","","","","","","","","00:00:01.8254999","",""
"","","","","","00:00:00.3158647","","","","",""
"","","","","","","00:00:00.3181371","","","",""
"","","","00:00:00.6187002","","","","","","",""
"","","","","","","00:00:01.2838256","","","",""
"","","","","00:00:00.9969359","","","","","",""
"","","","00:00:00.0206434","","","","","","",""
"","","00:00:00.5331746","","","","","","","",""
"","","","","","00:00:00.0220737","","","","",""
"","","","","","","","","00:00:00.0217666","",""
"","","","","","","","","00:00:00.2735316","",""
"8","What city was once called New Amsterdam?","Philadelphia","Houston","Washington D.C.","Newark","Chicago","Boston","New Orleans","New York City","Los Angeles"
"","","Slightly Possitive","Idle","Highly Possitive","Moderately Negative","Highly Negative","Moderately Possitive","Moderately Negative","Slightly Negative","Idle"
"","","","","","","","","00:00:02.6922155","",""
"","","","","","00:00:00.0923018","","","","",""
"","","","","","00:00:00.3046092","","","","",""
"","","","","","","","","","00:00:00.2140244",""
"","","","","","","","","00:00:00.3131410","",""
"","","","","","","","","","00:00:01.2304421",""
"","","","","","","","","","","00:00:00.6888743"
"","","","","","","","00:00:00.2943421","","",""
"","","","","","","00:00:00.0227095","","","",""
"","","","","","","","","","00:00:00.7140293",""
"9","In which country is the Mount Everest situated?","Vietnam","Japan","Tanzania","India","Sri Lanka","Nepal","United States","Russia","Kazakhistan"
"","","Moderately Negative","Idle","Slightly Possitive","Slightly Negative","Highly Possitive","Idle","Moderately Possitive","Highly Negative","Moderately Negative"
"","","","","","","","","","00:00:03.7823306",""
"","","","","","","00:00:00.1316090","","","",""
"","","","","","","00:00:00.1173740","","","",""
"","","","","","00:00:00.2017107","","","","",""
"","","","","","","00:00:00.0443671","","","",""
"","","","","","","","00:00:00.9798099","","",""
"10","What do badminton players strike with their racquets?","Shuttleshock","Shuttlehock","Shuttlechock","Shuttlecock","Shuttlefrock","Shuttleknock","Shuttleflock","Shuttlemock","Shuttleblock"
"","","Moderately Negative","Moderately Negative","Idle","Highly Possitive","Slightly Negative","Highly Negative","Moderately Possitive","Idle","Slightly Possitive"
"","","","","","","","00:00:04.8796430","","",""
"","","","00:00:00.2475464","","","","","","",""
"","","","00:00:00.0431123","","","","","","",""
"","","","","00:00:00.4072643","","","","","",""
"","","","","","","","00:00:00.4243712","","",""
"","","","","","","00:00:00.4011596","","","",""
"","","","","","","","","","00:00:00.4225774",""
"","","","","","","","","00:00:00.5870788","",""
"","","","","","","","","","00:00:00.0665714",""
"","","","","","","","","","","00:00:00.3797824"
"","","","","","","00:00:00.0221672","","","",""
"","","","","","00:00:00.0452149","","","","",""
"","","00:00:00.8282074","","","","","","","",""
"","","","00:00:01.3402070","","","","","","",""
"","","","","","","00:00:00.4225272","","","",""
"","","","","","","","00:00:01.3948957","","",""
"11","Which character was lacking a heart in The Wizard of Oz?","Wicked witch","Dorothy","The Tin Man","The Lion","Toto","Angry apple tree","The wizard","Glinda","The Scarecrow"
"","","Moderately Negative","Slightly Possitive","Highly Possitive","Slightly Negative","Moderately Possitive","Moderately Negative","Idle","Idle","Highly Negative"
"","","","","","","","00:00:04.5627104","","",""
"","","","","","","00:00:00.4775339","","","",""
"","","","","","","","","00:00:00.4456691","",""
"","","","","","","","","","00:00:00.5123186",""
"","","","","","","","","","","00:00:03.2855702"
