"ID","Question","Option1","Option2","Option3","Option4","Option5","Option6","Option7","Option8","Option9"
"1","Who was the most famous escape artist of the 20th century?","Harry Chapin","Harry Blackstone Sr.","Harry Lorayne","Harry Belafonte","Harry Anderson","Harry Houdini","Harry August Jansen","Harry Potter","Harry Kellar"
"","","Idle","Moderately Negative","Highly Possitive","Moderately Negative","Slightly Negative","Slightly Possitive","Idle","Highly Negative","Moderately Possitive"
"","","","","","","","","","00:00:00.5979738",""
"","","","","","","00:00:00.0230593","","","",""
"","","","00:00:00.4308060","","","","","","",""
"","","","00:00:00.1134558","","","","","","",""
"","","","","","","00:00:00.0467696","","","",""
"","","","","","","","","","00:00:00.0219436",""
"","","","","","","","","","","00:00:00.6338039"
"","","","","","","","00:00:00.0495511","","",""
"","","","","","","00:00:46.8335440","","","",""
"","","","","","","","","","00:00:00.0229989",""
"","","","","","","00:00:00.0226308","","","",""
"","","00:00:00.0462077","","","","","","","",""
"","","00:00:00.6381175","","","","","","","",""
"","","","00:00:00.8247482","","","","","","",""
"","","","","00:00:00.0453982","","","","","",""
"","","","","00:00:01.0033701","","","","","",""
"","","","","","","","00:00:00.6356422","","",""
"","","","","","","","","","","00:00:00.8442714"
"","","","","","","","","","00:00:00.8939760",""
"","","","","","","","","00:00:00.6840617","",""
"","","","","","","00:00:00.7428813","","","",""
"","","","00:00:00.0232684","","","","","","",""
"","","","","00:00:00.8382972","","","","","",""
"2","What was the painter Picasso first name?","Peter","Paco","Pedro","Pierre","Apollo","Paavo","Paolo","Pablo","Padarn"
"","","Moderately Possitive","Moderately Negative","Moderately Negative","Highly Negative","Slightly Possitive","Idle","Highly Possitive","Idle","Slightly Negative"
"","","","","00:00:03.0103377","","","","","",""
"","","00:00:00.6110953","","","","","","","",""
"","","","00:00:00.0427135","","","","","","",""
"","","","","","","","00:00:00.5161033","","",""
"","","","","","","","","","","00:00:00.1525535"
"","","","","","","","","","00:00:00.8863943",""
"3","Which one of these is not a zodiac sign?","Scorpio","Libra","Cancer","Aquarius","Pegasus","Taurus","Pisces","Leo","Gemini"
"","","Moderately Possitive","Slightly Possitive","Idle","Slightly Negative","Moderately Negative","Idle","Highly Negative","Highly Possitive","Moderately Negative"
"","","","","","","00:00:03.7611168","","","",""
"","","","00:00:01.3414037","","","","","","",""
"","","","","","","00:00:00.0214680","","","",""
"","","","","","","","","","00:00:00.0941023",""
"","","","","","","","","00:00:00.4577605","",""
"","","","","","","00:00:00.2803165","","","",""
"","","","","","00:00:00.2312939","","","","",""
"","","","","","","","","00:00:00.0640881","",""
"","","","","","","","","00:00:01.8599704","",""
"4","Who wrote Oliver Twist?","Charles Dickens","Shel Silverstein","Vladimir Nabokov","Fyodor Dostoyevsky","James Joyce","Boris Pasternak","Tomie dePaola","Anton Chekhov","Leo Tolstoy"
"","","Highly Negative","Idle","Slightly Possitive","Moderately Negative","Idle","Highly Possitive","Moderately Possitive","Moderately Negative","Slightly Negative"
"","","","","","","","","","00:00:02.2661938",""
"","","","","","","00:00:00.1113784","","","",""
"","","","00:00:00.0468835","","","","","","",""
"","","","00:00:00.3208880","","","","","","",""
"","","00:00:00.9727657","","","","","","","",""
"","","","00:00:00.9013249","","","","","","",""
"","","","","00:00:00.6578944","","","","","",""
"","","","","","","","00:00:01.0764878","","",""
"5","What is the capital of the Thailand?","Jakarta","Manila","Taipei","Kuala Lumpur","Bangkok","Lhasa","Hanoi","Kathmandu","Dhaka"
"","","Idle","Slightly Possitive","Moderately Negative","Moderately Negative","Slightly Negative","Highly Possitive","Moderately Possitive","Highly Negative","Idle"
"","","","","","","","00:00:02.9420057","","",""
"","","00:00:00.0226767","","","","","","","",""
"","","00:00:00.7762031","","","","","","","",""
"","","","","","","","00:00:00.0485931","","",""
"","","","","","","00:00:01.5728660","","","",""
"6","From which country does pizza originate?","Finland","Switzerland","Italy","England","Mexico","France","Germany","Belgium","Scotland"
"","","Moderately Possitive","Idle","Highly Possitive","Idle","Slightly Possitive","Slightly Negative","Moderately Negative","Highly Negative","Moderately Negative"
"","","","","","","00:00:03.8210911","","","",""
"","","","","00:00:01.5877578","","","","","",""
"","","","","","","","00:00:00.1106092","","",""
"","","","","","","","","","","00:00:00.2721098"
"","","","","","","","00:00:00.0235430","","",""
"","","","","00:00:00.7952703","","","","","",""
"","","","00:00:00.6845799","","","","","","",""
"","","","","","","00:00:00.1412693","","","",""
"","","","","","","","","00:00:00.5495847","",""
"","","","","","00:00:00.0119822","","","","",""
"","","","","","","00:00:00.0249023","","","",""
"","","","","00:00:00.2970406","","","","","",""
"7","Lara Croft is a fictional character and the protagonist of which video game series?","Raiders of the Lost Ark","Treasure Raider","Heavy Rain","Ark Raider","Prince of Persia","The Last of Us","Assassins Creed","Overwatch","Tomb Raider"
"","","Moderately Negative","Moderately Negative","Highly Negative","Highly Possitive","Idle","Idle","Slightly Possitive","Moderately Possitive","Slightly Negative"
"","","00:00:04.9367878","","","","","","","",""
"","","00:00:00.5157821","","","","","","","",""
"","","","00:00:00.5274302","","","","","","",""
"","","","","","","00:00:00.0670885","","","",""
"","","","","","","00:00:01.0571553","","","",""
"","","","","","","","00:00:00.7368538","","",""
"","","","","","","","","","","00:00:01.2601261"
"8","What city was once called New Amsterdam?","Houston","Newark","Washington D.C.","Chicago","Philadelphia","New York City","New Orleans","Los Angeles","Boston"
"","","Moderately Possitive","Slightly Possitive","Highly Possitive","Idle","Highly Negative","Moderately Negative","Moderately Negative","Idle","Slightly Negative"
"","","","","","","00:00:03.4200376","","","",""
"","","","00:00:02.6643286","","","","","","",""
"","","","","","","00:00:00.2081175","","","",""
"","","","","","","00:00:00.4910872","","","",""
"","","","00:00:00.7018362","","","","","","",""
"","","00:00:00.6226859","","","","","","","",""
"","","","","","00:00:00.6287094","","","","",""
"","","","","","","","","00:00:01.1023685","",""
"","","","","","","","","","00:00:00.8870195",""
"","","","","","","","","","","00:00:01.3039078"
"","","","","","","","","","00:00:00.0455025",""
"","","","","","","","","00:00:00.4354204","",""
"9","In which country is the Mount Everest situated?","United States","Japan","Vietnam","India","Tanzania","Sri Lanka","Nepal","Russia","Kazakhistan"
"","","Highly Negative","Highly Possitive","Idle","Idle","Moderately Negative","Moderately Possitive","Slightly Possitive","Slightly Negative","Moderately Negative"
"","","","","","","","","","00:00:03.7952039",""
"","","","","","00:00:01.4202359","","","","",""
"","","","","","","","","00:00:00.5142422","",""
"10","What do badminton players strike with their racquets?","Shuttleblock","Shuttlechock","Shuttlecock","Shuttlefrock","Shuttleflock","Shuttlehock","Shuttlemock","Shuttleknock","Shuttleshock"
"","","Moderately Negative","Moderately Possitive","Highly Possitive","Highly Negative","Slightly Possitive","Idle","Slightly Negative","Moderately Negative","Idle"
"","","","","","","","","","00:00:04.1636802",""
"","","","","","","","00:00:00.0194887","","",""
"","","","","00:00:00.1833189","","","","","",""
"","","","00:00:03.4009827","","","","","","",""
"","","","","00:00:00.0475637","","","","","",""
"","","","","00:00:00.8876247","","","","","",""
"11","Which character was lacking a heart in The Wizard of Oz?","The Tin Man","The wizard","Glinda","The Lion","Toto","Angry apple tree","Wicked witch","Dorothy","The Scarecrow"
"","","Idle","Moderately Negative","Idle","Slightly Possitive","Moderately Negative","Slightly Negative","Highly Negative","Moderately Possitive","Highly Possitive"
"","","00:00:02.3330928","","","","","","","",""
"","","00:00:00.2749005","","","","","","","",""
"","","","00:00:01.5910288","","","","","","",""
"12","Who directed 2001 A Space Odyssey?","Tom Hanks","Robin Williams","Steven Spielberg","Woody Allen","Stanley Kubrick","Martin Scorsese","Drew Barrymore","James Cameron","Quentin Tarantino"
"","","Moderately Negative","Highly Negative","Moderately Possitive","Idle","Highly Possitive","Moderately Negative","Idle","Slightly Negative","Slightly Possitive"
"","","","00:00:02.9477432","","","","","","",""
"","","","00:00:00.6899130","","","","","","",""
"","","","","","","00:00:00.0695948","","","",""
"","","","","","","00:00:01.2606708","","","",""
"","","","","","","","00:00:00.6764045","","",""
"","","","","","","00:00:00.2768664","","","",""
"","","","","00:00:00.6771527","","","","","",""
"","","","","","","","00:00:00.0458351","","",""
"","","","","","","00:00:00.2742299","","","",""
"13","Who directed Reservoir Dogs?","James Cameron","Martin Scorsese","Drew Barrymore","Steven Spielberg","Quentin Tarantino","Robin Williams","Tom Hanks","Woody Allen","Stanley Kubrick"
"","","Idle","Highly Possitive","Moderately Negative","Idle","Moderately Negative","Highly Negative","Slightly Negative","Slightly Possitive","Moderately Possitive"
"","","","","","","","00:00:03.6928879","","",""
"","","00:00:00.8489614","","","","","","","",""
"","","","00:00:01.0068871","","","","","","",""
"","","","","00:00:00.8615656","","","","","",""
"","","","","","","","00:00:01.1974289","","",""
"","","","","","","00:00:00.7179309","","","",""
"","","","","","00:00:01.4427759","","","","",""
"14","Which one is used to make Vodka?","Pearl","Oranges","Strawberries","Blackberry","Wheat","Grapes","Apples","Lemons","Potatoes"
"","","Moderately Possitive","Moderately Negative","Moderately Negative","Highly Negative","Slightly Possitive","Idle","Highly Possitive","Slightly Negative","Idle"
"","","","","","00:00:05.2507221","","","","",""
"","","","","","","00:00:00.8335056","","","",""
"","","","","","","","","","00:00:00.6810107",""
"","","","","","","","","","","00:00:01.0850139"
"","","","","","","00:00:01.2230780","","","",""
"15","Which of the following is widely used to make beer?","Grapes","Lemons","Apples","Potatoes","Oranges","Strawberries","Pearl","Wheat","Blackberry"
"","","Highly Possitive","Moderately Negative","Moderately Possitive","Slightly Negative","Idle","Moderately Negative","Idle","Slightly Possitive","Highly Negative"
"","","","","","","00:00:04.4633247","","","",""
"","","00:00:00.0238020","","","","","","","",""
"","","00:00:00.1624736","","","","","","","",""
"","","00:00:00.0669936","","","","","","","",""
"","","","00:00:00.5217879","","","","","","",""
"","","","","00:00:00.4779949","","","","","",""
"","","","","","","","00:00:00.9068965","","",""
"","","","","","","","","","00:00:01.0449118",""
"16","Where is Acropolis located at?","Greece","Mexico","Syria","Iran","Spain","France","Italy","Turkey","Lebanon"
"","","Idle","Moderately Negative","Slightly Possitive","Highly Negative","Moderately Possitive","Moderately Negative","Idle","Slightly Negative","Highly Possitive"
"","","","00:00:04.7881074","","","","","","",""
"","","","","00:00:00.7684722","","","","","",""
"","","","00:00:00.0683875","","","","","","",""
"","","00:00:00.8972505","","","","","","","",""
"","","","","","00:00:00.6580999","","","","",""
"","","","","","","00:00:00.6874113","","","",""
"","","","","","","","","","00:00:01.1563589",""
"17","Samsung Electronics is a company from which country?","Taiwan","Hong Kong","China","Vietnam","South Korea","Japan","Malaysia","Thailand","Indonesia"
"","","Idle","Moderately Negative","Slightly Negative","Moderately Possitive","Highly Negative","Moderately Negative","Highly Possitive","Idle","Slightly Possitive"
"","","","","","","","","","00:00:05.3457423",""
"","","","","","","00:00:00.0222696","","","",""
"","","","","","00:00:00.0688231","","","","",""
"","","00:00:00.5661103","","","","","","","",""
"","","","00:00:00.5904621","","","","","","",""
"","","","","00:00:00.0945328","","","","","",""
"","","","","","","","00:00:00.3459823","","",""
"","","","","","","00:00:00.4556354","","","",""
"","","","","","","","","","00:00:00.4496485",""
"","","","","","","","","00:00:00.3388636","",""
"","","","","","","","","","00:00:00.0467784",""
"","","","","","","","","","","00:00:00.9681358"
"","","","","","","","","","00:00:00.7970220",""
"","","","","","","","","00:00:00.8429845","",""
"","","","","","","00:00:00.8850616","","","",""
"","","","","","","","00:00:00.7318444","","",""
"","","","","00:00:01.2500475","","","","","",""
"18","What was the English term for a German submarine during World War Two?","U-boat","N-boat","F-boat","C-boat","G-boat","S-boat","D-boat","W-boat","H-boat"
"","","Highly Possitive","Moderately Negative","Slightly Possitive","Highly Negative","Idle","Moderately Negative","Moderately Possitive","Slightly Negative","Idle"
"","","","","","","00:00:06.6805717","","","",""
"","","00:00:00.0719427","","","","","","","",""
"","","00:00:01.1621544","","","","","","","",""
"","","","00:00:00.4553998","","","","","","",""
"","","","","","","00:00:01.1021016","","","",""
"19","Who plays Lara Croft in the Tomb Raider series of films?","Julia Roberts","Emma Stone","Scarlett Johanson","Nell McAndrew","Nicole Kidman","Angelina Jolie","Minnie Driver","Jennifer Aniston","Jennifer Lawrence"
"","","Highly Possitive","Highly Negative","Moderately Negative","Idle","Slightly Negative","Idle","Slightly Possitive","Moderately Negative","Moderately Possitive"
"","","","","","","00:00:04.2727512","","","",""
"","","","00:00:01.1995607","","","","","","",""
"","","","","","","00:00:00.8142479","","","",""
"","","","","","","","00:00:00.5025420","","",""
"","","","","00:00:00.5617108","","","","","",""
"","","","","","","","00:00:00.0221993","","",""
"","","","","","","","","","","00:00:00.6977907"
"","","","","","","","","","00:00:00.7931183",""
"","","","","","","","","00:00:00.7268440","",""
"","","","","","00:00:00.7478691","","","","",""
"","","00:00:00.6193435","","","","","","","",""
"","","","00:00:00.6379407","","","","","","",""
"","","00:00:00.7018582","","","","","","","",""
"20","Within which Italian city does the Vatican City lie?","Rome","Venice","Milan","Siena","Naples","Genoa","Turin","Florence","Pisa"
"","","Highly Negative","Idle","Moderately Negative","Moderately Negative","Moderately Possitive","Slightly Possitive","Highly Possitive","Idle","Slightly Negative"
"","","00:00:07.2466510","","","","","","","",""
"","","","","","","","","","00:00:00.3639285",""
"","","","","","","","","","","00:00:00.2093468"
"","","","","","","","00:00:00.5071256","","",""
"","","","","","","00:00:06.7768259","","","",""
"21","Who composed The Nutcracker?","Verdi ","Beethoven","Puccini ","Chopin ","Bach","Tchaikovsky","Handel","Vivaldi ","Mozart"
"","","Slightly Possitive","Moderately Negative","Slightly Negative","Moderately Possitive","Moderately Negative","Idle","Idle","Highly Possitive","Highly Negative"
"","","","","","","00:00:05.9770360","","","",""
"","","","","","","","00:00:00.7937580","","",""
"","","","","","","","","","","00:00:00.6503306"
"","","","","","","","","","00:00:00.5713210",""
"","","","","","","","","","00:00:00.3210739",""
"22","In the bible, who was found in a basket amongst the bullrushes?","Job","Aaron","Joseph","Moses","Jesus","Levi","Jonah","Andrew","Noah"
"","","Moderately Negative","Slightly Possitive","Moderately Negative","Highly Possitive","Moderately Possitive","Idle","Idle","Highly Negative","Slightly Negative"
"","","","","","","","","","00:00:02.9381312",""
"","","","00:00:00.0222405","","","","","","",""
"","","","00:00:00.6652213","","","","","","",""
"","","","","00:00:00.8648079","","","","","",""
"","","","00:00:00.1598063","","","","","","",""
"","","00:00:00.6808171","","","","","","","",""
"","","","","","00:00:00.9702229","","","","",""
"23","How many keys does a modern piano have?","91","89","85","88","90","87","93","86","92"
"","","Highly Negative","Idle","Idle","Moderately Negative","Moderately Possitive","Slightly Possitive","Highly Possitive","Slightly Negative","Moderately Negative"
"","","","","","00:00:03.1626079","","","","",""
"","","00:00:00.6339115","","","","","","","",""
"","","","00:00:00.9910184","","","","","","",""
"","","","","00:00:01.4063899","","","","","",""
"","","","","","","","00:00:00.7432924","","",""
"","","","","","","00:00:00.9112987","","","",""
"","","","","","00:00:00.6757789","","","","",""
"","","","","","","","","00:00:00.6782241","",""
"","","","","","","","","","00:00:00.2673308",""
"","","","","","","","","","00:00:00.0561548",""
"","","","","","00:00:01.0835894","","","","",""
"24","In a rainbow, what colour is the outer part of the arch?","Cyan","Red","Blue","Green","Indigo","Yellow","Magneta","Orange","Violet"
"","","Idle","Idle","Highly Negative","Slightly Possitive","Moderately Possitive","Moderately Negative","Highly Possitive","Slightly Negative","Moderately Negative"
"","","","","","00:00:02.2689797","","","","",""
"","","","","","","00:00:00.0458484","","","",""
"","","","00:00:00.8320225","","","","","","",""
"","","00:00:00.8732568","","","","","","","",""
"","","","00:00:00.8994851","","","","","","",""
"","","","","00:00:00.8588295","","","","","",""
"","","","","","","","00:00:00.9744931","","",""
"","","","","","","","","","","00:00:00.8902166"
"","","","","","","","","","00:00:01.0107253",""
"","","","","","","00:00:01.2219304","","","",""
"","","","","","00:00:00.8025849","","","","",""
"","","","","","","","","00:00:04.9840763","",""
"","","","","","","","","","00:00:00.0469787",""
"","","","","","","","","","","00:00:01.1685841"
"","","","","","","00:00:00.0428431","","","",""
"","","00:00:00.0215130","","","","","","","",""
"","","00:00:01.3561174","","","","","","","",""
"","","","","","","00:00:00.0257163","","","",""
"","","","","","","","","","","00:00:03.6426413"
"25","In Greek and Roman mythology, a multi-headed hound which guards the gates of Hades is called what?","Cerberus","Hera","Pluto","Iris","Gnasher","Gaia","Siren","Pegasus","Barabas"
"","","Highly Negative","Moderately Possitive","Slightly Negative","Idle","Highly Possitive","Slightly Possitive","Moderately Negative","Idle","Moderately Negative"
"","","","","","","00:00:02.5732016","","","",""
"","","00:00:00.2521177","","","","","","","",""
"","","00:00:00.5293661","","","","","","","",""
"","","","","","","00:00:00.2462784","","","",""
"","","","00:00:00.6038378","","","","","","",""
"","","","","","","00:00:00.1185887","","","",""
"","","","","","","00:00:01.0328185","","","",""
"26","Who played James Bond in You Only Live Twice?","George Lazenby","Bob Holness","Barry Nelson","Sean Connery","Bob Simmons","Richard Burton","Daniel Craig","David Niven","Roger Moore"
"","","Moderately Negative","Slightly Possitive","Highly Possitive","Moderately Negative","Idle","Slightly Negative","Moderately Possitive","Idle","Highly Negative"
"","","","","","","00:00:02.7484739","","","",""
"","","00:00:00.0230782","","","","","","","",""
"","","00:00:00.8045196","","","","","","","",""
"","","","00:00:00.7571422","","","","","","",""
"","","","","00:00:00.9244851","","","","","",""
"","","","","","","","00:00:00.8429914","","",""
"","","","","","","00:00:00.7359345","","","",""
"","","","","","00:00:02.2469664","","","","",""
"","","","","","","","","00:00:01.0005111","",""
"","","","","","","","","","00:00:00.9979559",""
"","","","","","","00:00:00.6624978","","","",""
"","","","00:00:01.3822397","","","","","","",""
"27","What is the more common name for the olfactory organ?","Tongue","Ear","Mouth","Nose","Kidney","Eye","Liver","Hand","Skin"
"","","Slightly Negative","Idle","Slightly Possitive","Moderately Negative","Highly Possitive","Moderately Negative","Highly Negative","Moderately Possitive","Idle"
"","","","00:00:02.4305621","","","","","","",""
"","","","00:00:00.7902452","","","","","","",""
"","","00:00:01.9496088","","","","","","","",""
"","","","00:00:00.1567787","","","","","","",""
"","","","","00:00:00.6520328","","","","","",""
"","","","","","","","00:00:00.2833326","","",""
"","","","","","","","","","00:00:02.3919650",""
"","","","","","","","","00:00:00.1646558","",""
"","","","","","","00:00:00.0695896","","","",""
"","","","","","","","","00:00:00.6431140","",""
"","","","","","","00:00:00.3791662","","","",""
"28","A gosling is the young of which bird?","Loon","Swan","Goose","Owl","Swallow","Gull","Duck","Sparrow","Chicken"
"","","Idle","Highly Negative","Idle","Moderately Possitive","Moderately Negative","Slightly Possitive","Highly Possitive","Moderately Negative","Slightly Negative"
"","","","","","","00:00:04.0458333","","","",""
"","","00:00:00.9003901","","","","","","","",""
"","","","00:00:00.9246909","","","","","","",""
"","","","","00:00:00.8574019","","","","","",""
"","","","00:00:00.3766588","","","","","","",""
"","","","","","","00:00:00.9515433","","","",""
"","","","","","00:00:03.5341282","","","","",""
"","","","","","","00:00:00.0238041","","","",""
"","","","","00:00:00.6363789","","","","","",""
"29","What material gives Mars its reddish appearance?","Zinc oxide","Copper oxide","Lead tetroxide","Iron oxide","Cobalt oxide","Nickel oxide","Silicon oxide","Aluminium oxide","Antimoney tetroxide"
"","","Moderately Negative","Idle","Moderately Negative","Slightly Possitive","Idle","Highly Negative","Moderately Possitive","Slightly Negative","Highly Possitive"
"","","","","","","00:00:03.1992255","","","",""
"","","","00:00:00.1857699","","","","","","",""
"","","00:00:00.2580252","","","","","","","",""
"","","00:00:00.7342161","","","","","","","",""
"","","","","","","00:00:04.6138609","","","",""
"","","","","","00:00:00.8652854","","","","",""
"30","Which soccer club plays at the Estadio Santiago Bernabeu?","Real Madrid","AS Roma","Napoli","Inter Milan","Barcelona","Santiago Bernabeu","Atletico Madrid","Juventus","AC Milan"
"","","Slightly Possitive","Moderately Negative","Idle","Moderately Possitive","Highly Possitive","Highly Negative","Slightly Negative","Moderately Negative","Idle"
"","","","","","","00:00:03.0359566","","","",""
"","","","","","00:00:01.1555807","","","","",""
"","","","","","","00:00:00.4218963","","","",""
"","","","","","","","","00:00:00.3524193","",""
"","","","","","00:00:00.1127001","","","","",""
"","","00:00:00.2940762","","","","","","","",""
"31","How many countries are members of the European Union?","27","18","15","24","33","16","30","29","21"
"","","Highly Possitive","Idle","Moderately Possitive","Moderately Negative","Moderately Negative","Slightly Negative","Slightly Possitive","Idle","Highly Negative"
"","","","","","","00:00:02.8636721","","","",""
"","","00:00:01.6439961","","","","","","","",""
"","","","00:00:00.4754197","","","","","","",""
"","","","","","","00:00:00.0882284","","","",""
"","","","","","","","","","00:00:00.5633405",""
"","","","","","","00:00:00.4997573","","","",""
"","","","","","00:00:00.7657623","","","","",""
"","","","","","","00:00:01.1650230","","","",""
"","","","","","","","00:00:00.5027568","","",""
"","","","","","","00:00:00.4760253","","","",""
"32","How many countries are there in Africa?","40","50","76","45","1","42","54","67","24"
"","","Highly Possitive","Idle","Idle","Highly Negative","Slightly Possitive","Moderately Negative","Moderately Possitive","Moderately Negative","Slightly Negative"
"","","","","","","00:00:03.7150695","","","",""
"","","","","","00:00:00.0929821","","","","",""
"","","","","","00:00:01.1478269","","","","",""
"33","The three largest oil producing countries are in the world are?","Iraq, Iran, UAE","Iran, Saudi Arabia, USA","UAE, Russia, Iran","UAE, USA, Saudi Arabia","Russia, USA, Iraq","USA, Russia, Iran","Iraq, UAE, Saudi Arabia","Saudi Arabia, Russia, USA","Saudi Arabia, Iran, Iraq"
