"ID","Question","Option1","Option2","Option3","Option4","Option5","Option6","Option7","Option8","Option9"
"1","What is the highest point on the Earth continental crust?","Mount Fiji","Mount Everest","Annapurna","Lhotse","Kangchenjunga","Makalu","Mount Damavand","K2","Manaslu"
"","","Slightly Possitive","Idle","Moderately Negative","Moderately Negative","Highly Possitive","Slightly Negative","Idle","Highly Negative","Moderately Possitive"
"","","","","","","","00:00:19.5095118","","",""
"","","","00:00:00.0455794","","","","","","",""
"","","","00:00:02.7935463","","","","","","",""
"","","","","00:00:01.6062483","","","","","",""
"","","","00:00:01.2644234","","","","","","",""
"","","00:00:00.0245547","","","","","","","",""
"","","00:00:02.6027075","","","","","","","",""
"","","","","","00:00:01.1650422","","","","",""
"","","","","","","00:00:03.0865412","","","",""
"","","","","","","","00:00:01.0723176","","",""
"","","","","","","00:00:01.7869145","","","",""
"","","","","","","","","","00:00:00.9840273",""
"","","","","","","","","","","00:00:02.1605733"
"","","","","","","00:00:00.0255796","","","",""
"","","","00:00:22.7809064","","","","","","",""
"2","Which two colors make purple?","White and Red","Orange and White","Red and Grey","Grey and Orange","Red and Blue","Blue and Yellow","Red and Green","None","Green and Orange"
"","","Idle","Slightly Possitive","Moderately Negative","Moderately Possitive","Highly Negative","Highly Possitive","Moderately Negative","Idle","Slightly Negative"
"","","","00:00:09.0466942","","","","","","",""
"","","00:00:01.7016930","","","","","","","",""
"","","","00:00:01.7746443","","","","","","",""
"","","","","00:00:02.5873883","","","","","",""
"","","","","","","","00:00:02.2471572","","",""
"","","","","","","00:00:08.3363907","","","",""
"3","Which fruits are most commonly used to make wine?","Blackberry","Apples","Strawberries","Grapes","Oranges","Pear","Lemons","Wheat","Potatoes"
"","","Moderately Negative","Slightly Possitive","Idle","Slightly Negative","Highly Possitive","Moderately Possitive","Idle","Moderately Negative","Highly Negative"
"","","","","","","00:00:09.6559438","","","",""
"","","","","","00:00:01.9182828","","","","",""
"","","00:00:01.0015318","","","","","","","",""
"","","","00:00:01.1431421","","","","","","",""
"","","","","00:00:01.1775027","","","","","",""
"","","","","","","","00:00:02.2526377","","",""
"","","","","","","","","","","00:00:00.9445348"
"","","","","","","","","","00:00:02.6722771",""
"","","","","","00:00:00.9724855","","","","",""
"4","Which Italian city has a famous leaning tower?","Milan","Paris","Eiffel","Venice","Turin","Siena","Florence","Pisa","Rome"
"","","Highly Possitive","Slightly Possitive","Highly Negative","Moderately Negative","Slightly Negative","Idle","Idle","Moderately Negative","Moderately Possitive"
"","","","","","00:00:12.7698346","","","","",""
"","","","","","","","","","00:00:01.1934856",""
