"ID","Question","Correct Answer","User Answer","Agent HP Answer","Correct?","Time (seconds)","Overal Time","Percentage","Time Started","Time Finished","Agent","Condition"
"1","What is the highest point on the Earth continental crust?","Mount Everest","Mount Everest","Mount Everest","1","00:00:13.9580724","","","","","",""
"2","Which two colors make purple?","Red and Blue","Red and Blue","Red and Blue","1","00:00:05.9823210","","","","","",""
"3","Which fruits are most commonly used to make wine?","Grapes","Grapes","Grapes","1","00:00:05.0185050","","","","","",""
"4","Which Italian city has a famous leaning tower?","Pisa","Pisa","Pisa","1","00:00:06.2686076","","","","","",""
"5","A common currency for the members of the Common Market in Europe is known as:","Euro","Euro","Euro","1","00:00:07.2382545","","","","","",""
"6","Where is Palace of Versailles located at?","France","France","France","1","00:00:05.2064622","","","","","",""
"7","What is the common name for sodium chloride?","Salt","Salt","Salt","1","00:00:05.1646069","","","","","",""
"8","What is the main ingredient of omelette?","Egg","Egg","Egg","1","00:00:06.4047762","","","","","",""
"9","Who is the King of the Gods in Greek Mythology?","Zeus","Zeus","Zeus","1","00:00:06.1628807","","","","","",""
"10","Sports car manufacturer Ferrari are based where?","Maranello, Italy","Maranello, Italy","Maranello, Italy","1","00:00:06.7667775","","","","","",""
"11","Who directed the 1983 film ET the Extra-Terrestrial?","Steven Spielberg","Steven Spielberg","Steven Spielberg","1","00:00:06.4276627","","","","","",""
"12","What country is also known as Persia?","Iran","Iran","Iran","1","00:00:05.7954161","","","","","",""
"13","The disease bronchitis is associated with:","Lungs","Lungs","Lungs","1","00:00:06.7080019","","","","","",""
"14","World War I commenced in:","1914","1914","1914","1","00:00:07.3153795","","","","","",""
"15","The small republic of San Marino is completely surrounded by which larger country?","Italy","Italy","Italy","1","00:00:12.6909654","","","","","",""
"16","What is cherry blossom known as in Japanese?","Sakura","Sakura","Sakura","1","00:00:13.1959807","","","","","",""
"17","The Spanish flag consists of which two colours?","Red and yellow","Red and yellow","Red and yellow","1","00:00:11.3039043","","","","","",""
