"ID","Question","Option1","Option2","Option3","Option4","Option5","Option6","Option7","Option8","Option9"
"1","What is the highest point on the Earth continental crust?","Mount Everest","Lhotse","Manaslu","Mount Damavand","Makalu","Mount Fiji","K2","Annapurna","Kangchenjunga"
"","","Highly Negative","Idle","Highly Possitive","Slightly Possitive","Moderately Possitive","Idle","Moderately Negative","Slightly Negative","Moderately Negative"
"","","","","","","","","","00:00:00.1178655",""
"","","00:00:01.8968758","","","","","","","",""
"","","","00:00:02.1750497","","","","","","",""
"","","","","00:00:01.7032550","","","","","",""
"","","","","","","","00:00:01.1446686","","",""
"","","","","","","00:00:01.6169903","","","",""
"","","","","","00:00:00.8159035","","","","",""
"","","","","","","","","00:00:01.2600607","",""
"","","","","","","","","","00:00:00.2052634",""
"","","","","","","","","","00:00:01.5266481",""
"","","","","","","","","","","00:00:01.0087774"
"","","","","","","","00:00:00.0687225","","",""
"","","","","00:00:00.0466037","","","","","",""
"","","","","00:00:00.8322256","","","","","",""
"","","00:00:04.4360297","","","","","","","",""
"2","Which two colors make purple?","None","Grey and Orange","Orange and White","Green and Orange","Blue and Yellow","White and Red","Red and Blue","Red and Green","Red and Grey"
"","","Moderately Negative","Moderately Negative","Idle","Idle","Slightly Possitive","Highly Negative","Moderately Possitive","Highly Possitive","Slightly Negative"
"","","","","","","00:00:02.1224291","","","",""
"","","","","","","","","","","00:00:01.0037322"
"","","00:00:00.6983556","","","","","","","",""
"","","","00:00:00.3259455","","","","","","",""
"","","","","00:00:00.2765006","","","","","",""
"","","","","","","","00:00:00.0841744","","",""
"","","","","","","","","","","00:00:00.2423080"
"","","","","","","","","","00:00:00.1106133",""
"","","","","","","","","00:00:00.1856614","",""
"","","","","","00:00:00.3383678","","","","",""
"","","","","","","00:00:01.6139020","","","",""
"","","","","","","","","00:00:01.5773815","",""
"3","Which fruits are most commonly used to make wine?","Potatoes","Pear","Apples","Strawberries","Blackberry","Lemons","Wheat","Grapes","Oranges"
"","","Idle","Moderately Negative","Moderately Possitive","Slightly Possitive","Moderately Negative","Idle","Highly Negative","Highly Possitive","Slightly Negative"
"","","","00:00:02.7616822","","","","","","",""
"","","00:00:00.2237504","","","","","","","",""
"","","","00:00:00.1863014","","","","","","",""
"","","","","00:00:00.1816263","","","","","",""
"","","","","","","","00:00:00.0710133","","",""
"","","","","","","","","","00:00:00.0659527",""
"","","","","","","","","","","00:00:00.1164253"
"","","","","","","","","","00:00:00.2951392",""
"4","Which Italian city has a famous leaning tower?","Turin","Venice","Florence","Paris","Eiffel","Rome","Pisa","Milan","Siena"
"","","Idle","Moderately Possitive","Slightly Possitive","Idle","Moderately Negative","Highly Negative","Highly Possitive","Slightly Negative","Moderately Negative"
"","","","00:00:08.3713786","","","","","","",""
"","","","","","","00:00:00.0263341","","","",""
"","","","","","","","00:00:00.2541573","","",""
"5","A common currency for the members of the Common Market in Europe is known as:","Dollar","Sterling","Pound","Krouna","Leu","Forint","Franc","Krone","Euro"
"","","Idle","Highly Negative","Idle","Slightly Possitive","Slightly Negative","Highly Possitive","Moderately Negative","Moderately Possitive","Moderately Negative"
"","","","","","","","00:00:13.3652331","","",""
"","","","","","","","","","","00:00:01.8899789"
"","","","","","","","00:00:00.1772374","","",""
"","","","","","","","","","","00:00:00.4981611"
